HRI Rank,Country,ISO,Continent,Population,Life Expectency,Ladder of Life,ecological footprint,HPI,GDP per Capita
,Costa Rica,CRI,1,5094.1,80.5,,,,1.55
,Vanuatu,VUT,8,307.2,,7.04,1.58,,1.55
9,Colombia,COL,1,50882.9,77.4,5.71,1.87,55.8,1.55
1,Switzerland,CHE,3,8654.6,83,7.51,3.46,62.3,1.55
10,Ecuador,ECU,1,17643.1,74.8,5.35,1.3,55,1.55
,Panama,PAN,1,4314.8,75.8,,,,1.55
,Jamaica,JAM,1,2961.2,74.4,,,,1.55
,Guatemala,GTM,1,17915.6,73.4,,,,1.55
,Honduras,HND,1,9904.6,74.2,,,,1.55
4,Uruguay,URY,1,3473.7,77.9,6.31,2.37,57.1,1.55
2,New Zealand,NZL,2,4822.2,82.5,7.26,3.38,60.8,1.55
36,Philippines,PHL,8,109581.1,71.1,5.08,1.4,49.3,1.55
29,El Salvador,SLV,1,6486.2,73,5.46,1.87,50.5,1.55
7,United Kingdom,GBR,3,67886,80.2,6.8,3.35,56.1,1.55
,Peru,PER,1,32971.8,74.2,,1.87,,1.55
,Nicaragua,NIC,1,6624.6,74.6,,,,1.55
13,Tajikistan,TJK,7,9537.6,71.3,5.37,0.97,54.5,1.55
5,Netherlands,NLD,3,17134.9,81.6,7.5,4.21,56.8,1.55
37,Dominican Republic,DOM,1,10847.9,73.6,5.17,1.82,49.3,1.55
,Armenia,ARM,7,2963.2,74,,,,1.55
27,Brazil,BRA,1,212559.4,74,6.11,2.59,51.3,1.55
8,Bangladesh,BGD,6,164689.4,72.8,5.28,0.85,56,1.55
22,Mexico,MEX,1,128932.8,72.6,5.96,2.13,52.1,1.55
,Uzbekistan,UZB,7,33469.2,71.7,,1.83,,1.55
3,Kyrgyzstan,KGZ,7,6524.2,71.2,6.25,1.47,57.1,1.55
17,Serbia,SRB,7,8737.4,75.7,6.04,2.37,53.5,1.55
,Nepal,NPL,6,29136.8,70.9,,,,1.55
18,Thailand,THA,8,69800,77.5,5.88,2.52,53,1.55
6,Germany,DEU,3,83783.9,81.1,7.31,3.93,56.8,1.55
11,Spain,ESP,3,46754.8,82,6.5,3.49,54.9,1.55
14,France,FRA,3,65273.5,82,6.71,3.82,54.4,1.55
24,Mauritius,MUS,5,1271.8,75.1,6.02,2.55,51.8,1.55
12,Finland,FIN,3,5540.7,82,7.89,5.15,54.6,1.55
,Senegal,SEN,5,16743.9,68,,,,1.55
21,Ireland,IRL,3,4937.8,81.6,7.03,4.59,52.1,1.55
15,Albania,ALB,7,2877.8,78.1,5.36,1.79,54.3,1.55
25,Moldova,MDA,7,4034,71.2,5.81,1.86,51.5,1.55
28,Norway,NOR,3,5421.2,82.7,7.29,5.26,51.3,1.55
35,Morocco,MAR,4,36910.6,76.4,4.8,1.73,49.3,1.55
20,Italy,ITA,3,60461.8,82.3,6.49,3.93,52.6,1.55
30,Sweden,SWE,3,10099.3,82,7.31,5.36,50.5,1.55
,"Palestine, State of",PSE,4,5101.4,72.9,,,,1.55
41,Argentina,ARG,1,45195.8,75.2,5.9,3.05,48.4,1.55
,Indonesia,IDN,8,273523.6,71.7,,1.59,,1.55
19,Cyprus,CYP,3,1207.4,81,6.26,3.47,52.7,1.55
45,Venezuela,VEN,1,28435.9,72,4.57,1.29,47.1,1.55
26,Greece,GRC,3,10423.1,81.7,5.79,3.21,51.5,1.55
,Vietnam,VNM,8,97338.6,,,,,1.55
32,Israel,ISR,4,8655.5,82.2,7.19,5.34,50.1,1.55
,Azerbaijan,AZE,7,10139.2,72.6,,1.88,,1.55
,Cambodia,KHM,8,16719,,4.38,1.32,,1.55
16,Iceland,ISL,3,341.3,82.9,7.58,5.1,53.7,1.55
38,Slovenia,SVN,7,2078.9,80.3,6.46,4.42,48.7,1.55
50,Bosnia and Herzegovina,BIH,7,3280.8,76,5.52,3.27,45.6,1.55
,Paraguay,PRY,1,7132.5,73.6,,,,1.55
,Congo (Brazzaville),COG,5,5518.1,64.8,,,,1.55
31,Japan,JPN,8,126476.5,84.9,6.12,4.3,50.3,1.55
39,Czech Republic,CZE,7,10709,78.4,6.9,4.7,48.6,1.55
34,Austria,AUT,3,9006.4,80.8,7.21,5.23,49.7,1.55
,Sri Lanka,LKA,6,21413.3,77.2,,1.38,,1.55
33,Slovakia,SVK,7,5459.6,76.6,6.52,3.74,49.7,1.55
,Algeria,DZA,4,43851,76.9,,2.04,,1.55
46,Portugal,PRT,3,10196.7,81.2,5.77,4.04,47,1.55
,Romania,ROU,7,19237.7,74.6,,3.72,,1.55
23,Croatia,HRV,7,4105.3,77.7,6.51,3.43,52,1.55
,Liberia,LBR,5,5057.7,64.4,,,,1.55
44,Chile,CHL,1,19116.2,79,6.15,4.15,47.3,1.55
,Singapore,SGP,8,5850.3,83.7,,5.37,,1.55
48,Hungary,HUN,7,9660.4,76.1,6.04,3.93,45.7,1.55
42,Denmark,DNK,3,5792.2,81,7.51,6.14,47.7,1.55
